state,week,mean,std,trump_mean,clinton_mean,mean_diff,candidate,right_1_total,right_1_ratio,left_1_total,left_1_ratio,right_2std_total,right_2std_ratio,left_2std_total,left_2std_ratio,right_5_total,right_5_ratio,left_5_total,left_5_ratio,right_10_total,right_10_ratio,left_10_total,left_10_ratio
Iowa,41.0,0.4343038237344114,0.6309697446862148,0.741854259058716,-0.43714322287803875,1.1789974819367548,Trump,3092,0.19385579937304076,131,0.008213166144200626,1966,0.1232601880877743,14,0.0008777429467084639,2478,0.1553605015673981,330,0.020689655172413793,4569,0.2864576802507837,552,0.03460815047021944
Iowa,42.0,0.45388044677706596,0.6423043333891972,0.7692760032130008,-0.44508783357412485,1.2143638367871257,Trump,3635,0.21778203822419268,156,0.009346354322688875,2268,0.13588161284524594,19,0.0011383380264813373,2885,0.17284764244203463,358,0.021448684920016777,5172,0.3098675933137619,614,0.03678629201366006
Iowa,43.0,0.46344236050622706,0.6556233501131911,0.7913145359349321,-0.4505455999108643,1.2418601358457964,Trump,3761,0.22821601941747574,148,0.008980582524271844,2214,0.13434466019417476,9,0.000546116504854369,2664,0.1616504854368932,338,0.020509708737864077,4994,0.3030339805825243,567,0.03440533980582524
Iowa,44.0,0.4632058072470059,0.6527584333540642,0.791857538416295,-0.4428491798343778,1.2347067182506728,Trump,3818,0.22940575617376674,145,0.00871237156762603,2287,0.13741512948386708,8,0.0004806825692483326,2711,0.16289130565402873,291,0.0174848284564081,5079,0.3051733461515352,534,0.03208556149732621
Iowa,45.0,0.47511673720690273,0.6587949653468734,0.8011714006716636,-0.45363564385471544,1.254807044526379,Trump,3868,0.23873595852363905,140,0.008640908529811135,2222,0.1371435625231453,8,0.0004937662017034934,2618,0.16158498950746822,297,0.01833107023824219,4891,0.30187631156647327,526,0.03246512776200469
Iowa,46.0,0.4778014430161548,0.6594374565109166,0.805921965787275,-0.4413630425713619,1.2472850083586369,Trump,3935,0.24056978663569115,150,0.009170385767561288,2305,0.14091826129485846,9,0.0005502231460536774,2629,0.16072629455279086,307,0.018768722870942105,4901,0.2996270709787858,547,0.033441340099040165
Iowa,47.0,0.4834886485709178,0.670403631091877,0.8222183437272289,-0.4410040734689443,1.2632224171961732,Trump,4022,0.2523370349457306,141,0.008846226237530586,2370,0.1486918878223226,9,0.000564652738565782,2620,0.16437668611581654,318,0.0199510634293243,4826,0.3027793462576071,545,0.0341928602798168
Iowa,48.0,0.47586658611459265,0.687317040968587,0.8387431051780943,-0.4329600091130338,1.2717031142911281,Trump,4320,0.27098231087692887,126,0.007903650733910425,2710,0.16999121816585122,9,0.0005645464809936018,2667,0.16729394053443733,302,0.018943670806674195,4909,0.3079287416886213,538,0.033747334086061974
Iowa,49.0,0.49456844038536407,0.6946109223347744,0.8711984191176132,-0.41983586901230713,1.2910342881299204,Trump,4513,0.2856509905690234,110,0.006962465978859422,2825,0.1788087853661624,8,0.000506361162098867,2704,0.17115007278941705,260,0.01645673776821318,4979,0.31514652826128237,523,0.03310336097221343
Iowa,50.0,0.49849483411211587,0.7060499679740118,0.8843467633155052,-0.4350178978315678,1.319364661147073,Trump,4551,0.2960962914769031,104,0.006766428106701366,2731,0.17768379960962916,2,0.00013012361743656474,2609,0.1697462589459987,318,0.020689655172413793,4850,0.3155497722836695,534,0.03474300585556279
Iowa,51.0,0.5126029519204721,0.7119457477973923,0.8961378353733391,-0.43726995447040157,1.3334077898437406,Trump,4853,0.31221049922799793,98,0.006304683479155944,2781,0.17891147709727226,1,6.433350488934638e-05,2648,0.17035512094698918,276,0.017756047349459597,4913,0.31607050952135873,532,0.034225424601132266
Iowa,52.0,0.5293048621617626,0.6994033302048067,0.8913017600158603,-0.4386810900099331,1.3299828500257933,Trump,4939,0.32222077244258873,145,0.0094598121085595,2358,0.15383611691022964,5,0.00032620041753653444,2629,0.1715161795407098,288,0.018789144050104383,4859,0.31700156576200417,535,0.034903444676409184
Iowa,53.0,0.5319552038844366,0.6904216761327743,0.8686220657318764,-0.4343924568926831,1.3030145226245595,Trump,4731,0.30597594101668607,151,0.009765877635493468,2360,0.1526322597335403,12,0.0007760962359332557,2742,0.17733798991074892,292,0.018885008407709222,5098,0.32971155089897813,542,0.03505367998965205
Iowa,54.0,0.5475062304369077,0.6887075540459708,0.8777744799713625,-0.4317116423185132,1.3094861222898757,Trump,4856,0.31363430859652525,182,0.011754827875734676,2259,0.1459019569850804,16,0.0010333914616030486,2774,0.17916424465542855,304,0.01963443777045792,4961,0.3204159400632952,537,0.03468320093005232
Iowa,55.0,0.5271829165856092,0.6915518826209414,0.8741782500790237,-0.43659976906659537,1.310778019145619,Trump,4771,0.30544174135723434,170,0.01088348271446863,2443,0.15640204865556978,18,0.0011523687580025609,2856,0.182842509603073,332,0.021254801536491678,5069,0.32451984635083225,568,0.03636363636363636
