"data_year","state_id","state_abbr","total_population","total_agencies","participation_agencies","covered_agencies","population_covered","nibrs_participating_agencies","nibrs_population"
1965,51,"VA",4715131,507,125,0,0,0,0
1965,52,"VT",425535,110,27,0,0,0,0
1965,53,"WA",3180458,332,106,0,0,0,0
1965,54,"WI",4400364,501,190,0,0,0,0
1965,55,"WV",1975835,560,53,0,0,0,0
1965,56,"WY",363883,91,38,0,0,0,0
1965,57,"MP",0,1,0,0,0,0,0
1965,98,"FS",0,0,0,0,0,0,0
1965,99,"OT",0,0,0,0,0,0,0
1966,1,"AK",263131,55,7,0,0,0,0
1966,2,"AL",3900760,510,83,0,0,0,0
1966,3,"AR",2333595,377,73,0,0,0,0
1966,4,"AS",0,1,0,0,0,0,0
1966,5,"AZ",1711697,177,42,0,0,0,0
1966,6,"CA",19971470,946,387,0,0,0,0
1966,7,"CO",2146796,333,95,0,0,0,0
1966,8,"CT",3085011,136,78,0,0,0,0
1966,9,"CZ",43600,1,0,0,0,0,0
1966,10,"DC",808000,3,1,0,0,0,0
1966,11,"DE",526455,85,12,0,0,0,0
1966,12,"FL",6665398,1253,160,0,0,0,0
1966,13,"GA",4940048,864,115,0,0,0,0
1966,14,"GM",65600,3,0,0,0,0,0
1966,15,"HI",719083,18,7,0,0,0,0
1966,16,"IA",3049462,312,182,0,0,0,0
1966,17,"ID",747613,157,68,0,0,0,0
1966,18,"IL",11628957,1251,371,0,0,0,0
1966,19,"IN",5437822,438,207,0,0,0,0
1966,20,"KS",2331964,484,183,0,0,0,0
1966,21,"KY",3694764,705,140,0,0,0,0
1966,22,"LA",3975518,320,80,0,0,0,0
1966,23,"MA",5555397,527,213,0,0,0,0
1966,24,"MD",3855951,218,51,0,0,0,0
1966,25,"ME",1111979,273,82,0,0,0,0
1966,26,"MI",8751004,901,260,0,0,0,0
1966,27,"MN",3833162,502,204,0,0,0,0
1966,28,"MO",4980006,761,193,0,0,0,0
1966,29,"MS",2718781,280,63,0,0,0,0
1966,30,"MT",842488,162,78,0,0,0,0
