"week","state_name","n","year","month_year","quarter","month","mean","std","trump_mean","clinton_mean","mean_diff","candidate","right_1_total","right_1_ratio","left_1_total","left_1_ratio","right_2std_total","right_2std_ratio","left_2std_total","left_2std_ratio","right_5_total","right_5_ratio","left_5_total","left_5_ratio","right_10_total","right_10_ratio","left_10_total","left_10_ratio","population","crime_rate","extreme_1_ratio","extreme_2std_ratio","extreme_5_ratio","extreme_10_ratio","extreme_1_total","extreme_2std_total","extreme_5_total","extreme_10_total","mean_diff_last","mean_diff_last2","trump_num","clinton_num","total_num","trump_ratio"
50,"Missouri",0,2016,4,2,124,0.290966466779014,0.775432076389607,0.850352045706952,-0.555007382425725,1.40535942813268,"Trump",5758,0.225115333489718,603,0.0235749472202674,3234,0.126436781609195,38,0.00148565173195715,3095,0.121002423958089,1473,0.0575885526624443,6221,0.243216826960669,2456,0.0960200172022832,6087203,0,0.248690280709985,0.127922433341153,0.178590976620533,0.339236844162953,6361,3272,4568,8677,1.38354651554163,1.37230495512972,15397,10181,25578,0.601962624130112
53,"Missouri",0,2016,5,2,125,0.305229455090991,0.756887301932029,0.810680271185177,-0.561023611261978,1.37170388244715,"Trump",5554,0.213985744557889,848,0.0326719321903294,2415,0.0930456559429782,70,0.00269697553457908,2834,0.10918898092853,1492,0.0574841071084569,5940,0.228857638219996,2397,0.0923521479483722,6087203,0,0.246657676748218,0.0957426314775573,0.166673088036987,0.321209786168368,6402,2485,4326,8337,1.40535942813268,1.38354651554163,16391,9564,25955,0.631516085532653
55,"Missouri",0,2016,5,2,125,0.275563663739753,0.759245697297193,0.809921411139939,-0.564111837203983,1.37403324834392,"Trump",5527,0.20787573341357,810,0.0304648713705431,2398,0.0901910636377313,55,0.00206860237701219,2874,0.108093876936964,1750,0.0658191665412968,5942,0.223484278621935,2788,0.104859335038363,6087203,0,0.238340604784113,0.0922596660147435,0.173913043478261,0.328343613660298,6337,2453,4624,8730,1.37170388244715,1.40535942813268,16248,10340,26588,0.611102753121709
56,"Missouri",0,2016,5,2,125,0.265737715774237,0.768732564443583,0.801131922843681,-0.599740211400267,1.40087213424395,"Trump",5712,0.202209005947324,1070,0.0378787878787879,2297,0.0813154913622203,47,0.00166383460775984,2925,0.103547153780799,2022,0.0715802888700085,6020,0.213112432738601,3232,0.114415179835741,6087203,0,0.240087793826112,0.0829793259699802,0.175127442650807,0.327527612574342,6782,2344,4947,9252,1.37403324834392,1.37170388244715,17452,10796,28248,0.617813650523931
58,"Missouri",0,2016,6,2,126,0.256435618249676,0.762663572212734,0.790652143422643,-0.597522481668742,1.38817462509138,"Trump",5907,0.197327543009855,969,0.0323701352931351,2184,0.0729580758309671,44,0.00146985134457992,2762,0.092266577584767,2031,0.0678470018373142,5639,0.188374812092868,3250,0.108568565224653,6087203,0,0.22969767830299,0.074427927175547,0.160113579422081,0.296943377317521,6876,2228,4793,8889,1.40087213424395,1.37403324834392,18415,11520,29935,0.615166193419075
59,"Missouri",0,2016,6,2,126,0.274683008716337,0.746027904240773,0.772329385578215,-0.592662474935026,1.36499186051324,"Trump",5924,0.191808321191517,930,0.0301117047110248,1951,0.0631698235389348,33,0.00106847984458475,2882,0.0933139064270682,1823,0.0590254168690303,5809,0.188084830824025,3034,0.0982353893475797,6087203,0,0.221920025902542,0.0642383033835195,0.152339323296098,0.286320220171604,6854,1984,4705,8843,1.38817462509138,1.40087213424395,19625,11260,30885,0.63542172575684
61,"Missouri",0,2016,6,2,126,0.29766600868089,0.730273377276454,0.737228321343821,-0.606450748135718,1.34367906947954,"Trump",5740,0.187962538476652,926,0.0303228764162683,1983,0.06493549020892,31,0.00101512869212129,2954,0.0967319405331063,1650,0.0540310432903268,5907,0.19343113497937,2772,0.090772152727749,6087203,0,0.21828541489292,0.0659506189010413,0.150762983823433,0.284203287707119,6666,2014,4604,8679,1.36499186051324,1.38817462509138,20548,9990,30538,0.672866592442203
74,"Missouri",0,2016,9,3,129,0.310575254838805,0.790270942063019,0.875172401911419,-0.610300940722284,1.4854733426337,"Trump",6602,0.22466480637038,1029,0.0350166746069557,1574,0.0535629211189002,68,0.00231402708772885,3272,0.111345538691894,1683,0.057272170421289,6492,0.220921527257878,2985,0.101578983189274,6087203,0,0.259681480977336,0.055876948206629,0.168617709113183,0.322500510447152,7631,1642,4955,9477,1.34367906947954,1.36499186051324,18217,11169,29386,0.619921050840536
79,"Missouri",0,2016,11,4,131,0.278178965052353,0.82272328050592,0.87566893078633,-0.682839046908971,1.5585079776953,"Trump",7902,0.247804816859007,1228,0.038509784244857,1189,0.0372867536377321,36,0.00112895132965379,3643,0.114243602609132,1650,0.051743602609132,7106,0.222842448569995,3135,0.0983128449573507,6087203,0,0.286314601103864,0.0384157049673858,0.165987205218264,0.321155293527346,9130,1225,5293,10241,1.4854733426337,1.5585079776953,19663,12225,31888,0.616626944305068
4,"Montana",1,2015,5,2,113,-0.175306245935849,0.519435305112814,0.430642546620822,-0.489645888133074,0.920288434753896,"Clinton",315,0.0225515463917526,283,0.0202605956471936,336,0.0240549828178694,88,0.00630011454753723,485,0.0347222222222222,898,0.0642898052691867,928,0.0664375715922108,1724,0.123424971363116,1030503,9.70399892091532e-07,0.0428121420389462,0.0303550973654066,0.0990120274914089,0.189862542955326,598,424,1383,2652,1.5585079776953,1.4854733426337,4771,9197,13968,0.341566437571592
